comparison,feature,bin,expected_pct,actual_pct,psi_component
train_vs_valid,days_since_last_txn,"(-inf, 2.0]",0.16609547160581803,0.1657334389256355,7.89971635170811e-07
train_vs_valid,days_since_last_txn,"(11.0, 15.0]",0.10177639147646123,0.09571347305723177,0.00037237895347881666
train_vs_valid,days_since_last_txn,"(15.0, 21.0]",0.09887763944959946,0.09343245624797832,0.0003084387997639849
train_vs_valid,days_since_last_txn,"(2.0, 3.0]",0.07146933512894917,0.07114095456928379,1.5122889488420128e-06
train_vs_valid,days_since_last_txn,"(21.0, 31.0]",0.08712259607400272,0.08174294223283103,0.00034288194516805874
train_vs_valid,days_since_last_txn,"(3.0, 4.0]",0.06493506493506493,0.06398558888157675,1.3985673347457828e-05
train_vs_valid,days_since_last_txn,"(31.0, inf]",0.09940907732119078,0.11043132968221922,0.001158994755057332
train_vs_valid,days_since_last_txn,"(4.0, 6.0]",0.10978419395066687,0.10764280057555241,4.218164235092874e-05
train_vs_valid,days_since_last_txn,"(6.0, 8.0]",0.09030216470346672,0.08741481043579133,9.382950967242013e-05
train_vs_valid,days_since_last_txn,"(8.0, 11.0]",0.10677371918943647,0.10084436661349871,0.0003387641760023837
train_vs_valid,days_since_last_txn,MISSING,0.003454346165343608,0.02191783877840117,0.03411439828519482
train_vs_valid,days_since_last_app_login,"(-inf, 3.0]",0.1174538086884053,0.11625935551515287,1.2209246407446623e-05
train_vs_valid,days_since_last_app_login,"(11.0, 15.0]",0.07864676592879337,0.07625511695091074,7.385887523495321e-05
train_vs_valid,days_since_last_app_login,"(15.0, 21.0]",0.09143750924732091,0.08766020099717801,0.0001593562948039508
train_vs_valid,days_since_last_app_login,"(21.0, 28.0]",0.07783451145459981,0.07293119025576389,0.00031905188978577603
train_vs_valid,days_since_last_app_login,"(28.0, 39.0]",0.08434764491495485,0.07995270654635094,0.0002351801686932702
train_vs_valid,days_since_last_app_login,"(3.0, 5.0]",0.06733559395730984,0.0649225346614168,8.806266147368222e-05
train_vs_valid,days_since_last_app_login,"(39.0, 57.0]",0.08315492923723568,0.07970731598496425,0.00014598611315205104
train_vs_valid,days_since_last_app_login,"(5.0, 8.0]",0.08586345066233464,0.0843753137095245,2.601767004280823e-05
train_vs_valid,days_since_last_app_login,"(57.0, inf]",0.08121034975254925,0.07879825549619086,7.27290820279819e-05
train_vs_valid,days_since_last_app_login,"(8.0, 11.0]",0.07235405840381427,0.06964630296811038,0.00010327900980921022
train_vs_valid,days_since_last_app_login,MISSING,0.1603613777526821,0.18949170691443679,0.004862299997093752
train_vs_valid,txn_count_90d,"(-inf, 3.0]",0.15283368108292544,0.18746723478299668,0.007074035087154749
train_vs_valid,txn_count_90d,"(10.0, 12.0]",0.11386056398844123,0.11220483419405931,2.4253956554786063e-05
train_vs_valid,txn_count_90d,"(12.0, 15.0]",0.107960395800433,0.1105261396718459,6.026315748955131e-05
train_vs_valid,txn_count_90d,"(15.0, inf]",0.07630964710713606,0.08293643269048442,0.0005518460753540855
train_vs_valid,txn_count_90d,"(3.0, 4.0]",0.07098922932450019,0.0643090582579501,0.0006601857392232704
train_vs_valid,txn_count_90d,"(4.0, 5.0]",0.0793261609350891,0.06995861822805706,0.0011771635749239936
train_vs_valid,txn_count_90d,"(5.0, 7.0]",0.16767770708714674,0.15340256321595486,0.0012701755864067393
train_vs_valid,txn_count_90d,"(7.0, 8.0]",0.08380714844327958,0.07816247085987084,0.00039359595863273385
train_vs_valid,txn_count_90d,"(8.0, 9.0]",0.07720342898208511,0.07381794251168394,0.00015181214474210296
train_vs_valid,txn_count_90d,"(9.0, 10.0]",0.07003203724896355,0.06721470558709691,0.0001156817668214964
train_vs_valid,app_login_count_90d,"(-inf, 1.0]",0.31599718579490726,0.33306191650028444,0.0008975212230067423
train_vs_valid,app_login_count_90d,"(1.0, 2.0]",0.12643390090495416,0.11296889116928603,0.0015162566092651313
train_vs_valid,app_login_count_90d,"(2.0, 3.0]",0.1073897039951446,0.09733081993909852,0.0009892773735893623
train_vs_valid,app_login_count_90d,"(3.0, 4.0]",0.09190553691832465,0.08598150647496458,0.0003947124897474777
train_vs_valid,app_login_count_90d,"(4.0, 5.0]",0.07827234379199038,0.0743923795076573,0.00019726057241022685
train_vs_valid,app_login_count_90d,"(5.0, 7.0]",0.1206122405843401,0.11975617101491305,6.0977913146630455e-06
train_vs_valid,app_login_count_90d,"(7.0, 9.0]",0.08044036874541409,0.0845593566305645,0.00020569230390906924
train_vs_valid,app_login_count_90d,"(9.0, inf]",0.0789487192649248,0.09194895876323157,0.001981692919417754
train_vs_valid,active_products_count,"(-inf, 1.0]",0.5104249389299378,0.306743778791563,0.1037207180913861
train_vs_valid,active_products_count,"(1.0, 2.0]",0.3058002216337487,0.3462572362330318,0.0050267815511527755
train_vs_valid,active_products_count,"(2.0, 3.0]",0.14317117432671955,0.24663424536825315,0.05626999626366345
train_vs_valid,active_products_count,"(3.0, inf]",0.04060366510959396,0.10036473960715202,0.05408094035923847
train_vs_valid,complaints_count_90d,0,0.9708252686629808,0.9693038715938117,2.386077780592698e-06
train_vs_valid,complaints_count_90d,1,0.027589476322329148,0.028682810391174863,4.249089235438116e-05
train_vs_valid,complaints_count_90d,2,0.0014856104137666564,0.0018794686178934335,9.262101313007113e-05
train_vs_valid,complaints_count_90d,3,9.360553420074462e-05,0.00012269528069333989,7.872103740779378e-06
train_vs_valid,complaints_count_90d,4,6.039066722628685e-06,5.5770582133336305e-06,3.677035561049363e-08
train_vs_valid,complaints_count_90d,5,0.0,5.5770582133336305e-06,7.866413439120625e-06
train_vs_valid,avg_satisfaction_score_90d,"(-inf, 2.0]",0.025355021634956534,0.026686223550801424,6.811847774969515e-05
train_vs_valid,avg_satisfaction_score_90d,"(2.0, 3.0]",0.03992728963665955,0.04290430883517562,0.00021408405668149047
train_vs_valid,avg_satisfaction_score_90d,"(3.0, 4.0]",0.04836688538153314,0.055000948099896266,0.0008527094507620823
train_vs_valid,avg_satisfaction_score_90d,"(4.0, 4.5]",0.0016547042820002596,0.0020133180150134406,7.034631663487107e-05
train_vs_valid,avg_satisfaction_score_90d,"(4.5, inf]",0.028709723199376768,0.032146163541655046,0.0003885145319125109
train_vs_valid,avg_satisfaction_score_90d,MISSING,0.8559863758654738,0.8412490379574582,0.00025593925929274846
train_vs_valid,customer_segment,affluent,0.26389513764542827,0.2638394699563874,1.174412884811763e-08
train_vs_valid,customer_segment,mass,0.4494484822315559,0.449951479593544,5.626114816175368e-07
train_vs_valid,customer_segment,pensioner,0.048397080715146285,0.04773961830613588,8.992685679337502e-06
train_vs_valid,customer_segment,premium,0.05135622340923434,0.05190010373328277,5.729596447165968e-06
train_vs_valid,customer_segment,sme_owner,0.06296029011676535,0.06256343903717668,2.5093471197377405e-06
train_vs_valid,customer_segment,youth,0.12394278588186981,0.12400588937347327,3.211995978137386e-08
train_vs_valid,value_segment,high_value,0.12937492639887432,0.12306894359363323,0.0003151092025405057
train_vs_valid,value_segment,low_value,0.3184581054843784,0.3501165605166587,0.0030004363968998823
